Input	Input Type	MGI Gene/Marker ID	Chr	Strand	Start	End
Pnliprp2	current symbol	MGI:1336202	19	+	58759723	58777533
Fkbp1b	current symbol	MGI:1336205	12	-	4833175	4841595
Kcnab3	current symbol	MGI:1336208	11	+	69326258	69333042
Trappc10	current symbol	MGI:1336209	10	-	78186725	78244642
Zfp125	current symbol	MGI:1336211	12	-	20899822	20900867
Ncr1	current symbol	MGI:1336212	7	+	4337724	4345164
Mybpc1	current symbol	MGI:1336213	10	-	88518279	88605152
Khsrp	current symbol	MGI:1336214	17	-	57021058	57031507
Gcm1	current symbol	MGI:108045	9	+	78051958	78065624
Sh3gl3	current symbol	MGI:700011	7	+	82173840	82307419
Prkg1	current symbol	MGI:108174	19	-	30567551	31765033
Klf9	current symbol	MGI:1333856	19	+	23141226	23166911
Pdcd6	current symbol	MGI:109283	13	-	74303121	74317326
Cst8	current symbol	MGI:107161	2	+	148798785	148805595
Taf1	current symbol	MGI:1336878	X	+	101532734	101601034
Fkbp7	current symbol	MGI:1336879	2	-	76663044	76673116
Eftud2	current symbol	MGI:1336880	11	-	102838473	102880985
Mok	current symbol	MGI:1336881	12	-	110807798	110840939
Vamp8	current symbol	MGI:1336882	6	-	72385223	72390703
Smad6	current symbol	MGI:1336883	9	-	63953076	64022059
Slc22a18	current symbol	MGI:1336884	7	+	143473721	143499334
Cd84	current symbol	MGI:1336885	1	+	171839697	171890718
Angpt4	current symbol	MGI:1336887	2	+	151911210	151945337
Prdx6b	current symbol	MGI:1336888	2	+	80292472	80295356
Slc6a20b	current symbol	MGI:1336891	9	-	123593820	123632565
Slc6a18	current symbol	MGI:1336892	13	-	73661750	73678023
Mocs2	current symbol	MGI:1336894	13	+	114818236	114832275
Rce1	current symbol	MGI:1336895	19	-	4622551	4625617
Ap1m2	current symbol	MGI:1336974	9	-	21295457	21312333
Ap1m1	current symbol	MGI:102776	8	+	72240018	72257385
Cldn3	current symbol	MGI:1329044	5	+	134986214	134987472
Galr3	current symbol	MGI:1329003	15	+	79041885	79043558
Cldn11	current symbol	MGI:106925	3	+	31149920	31164324
Cldn4	western clawed frog symbol	MGI:1329044	5	+	134986214	134987472
Cldn4	current symbol	MGI:1313314	5	-	134945119	134946934
Ovgp1	current symbol	MGI:106661	3	+	105973711	105987423
Prodh	current symbol	MGI:97770	16	-	18060357	18090203
Galr1	current symbol	MGI:1096364	18	-	82392496	82406777
Ap3b2	current symbol	MGI:1100869	7	-	81460399	81493925
Gal	synonym	MGI:95704	2	-	35400179	35463231
Gal	current symbol	MGI:95637	19	-	3409917	3414457
Trp73	current symbol	MGI:1336991	4	-	154056253	154140208
Ap4e1	current symbol	MGI:1336993	2	+	127008717	127067909
Lancl1	current symbol	MGI:1336997	1	-	67000517	67038872
Loxl3	current symbol	MGI:1337004	6	+	83034173	83052562
Hapln1	current symbol	MGI:1337006	13	+	89540636	89611832
Ankfy1	current symbol	MGI:1337008	11	+	72690006	72772146
Galr2	current symbol	MGI:1337018	11	+	116280939	116283938
Nubp2	current symbol	MGI:1347072	17	-	24882611	24886350
Nubp1	human synonym	MGI:1347072	17	-	24882611	24886350
Nubp1	current symbol	MGI:1347073	16	+	10411948	10424428
Sdcbp	current symbol	MGI:1337026	4	+	6365650	6408423
Rbbp9	current symbol	MGI:1347074	2	-	144542265	144550869
Nbea	current symbol	MGI:1347075	3	-	55625195	56183701
Nr1i2	dog symbol	MGI:2443598	16	-	38297754	38342143
Nr1i2	current symbol	MGI:1337040	16	-	38248323	38294824
Serf2	current symbol	MGI:1337041	2	+	121449195	121458313
Trim26	current symbol	MGI:1337056	17	+	36837134	36859398
Bdp1	current symbol	MGI:1347077	13	-	100017994	100104070
Bdp1	human synonym	MGI:108410	1	+	34459762	34475733
Ap3s2	current symbol	MGI:1337060	7	-	79875332	79920640
Ap3s1	current symbol	MGI:1337062	18	+	46741917	46790826
Ap4m1	current symbol	MGI:1337063	5	+	138172002	138180429
Grk6	current symbol	MGI:1347078	13	+	55445334	55460925
Ap4s1	current symbol	MGI:1337065	12	+	51690966	51738939
Ier5	current symbol	MGI:1337072	1	-	155096361	155099636
Ifi202b	current symbol	MGI:1347083	1	-	173962568	173982744
Fgd2	human synonym	MGI:1924287	16	+	90738324	90749785
Fgd2	current symbol	MGI:1347084	17	+	29360914	29379660
Ncor2	current symbol	MGI:1337080	5	-	125017153	125179219
Cetn2	current symbol	MGI:1347085	X	-	72913532	72918411
Cetn2	zebrafish symbol	MGI:1347086	18	-	9618419	9619469
Cetn1	current symbol	MGI:1347086	18	-	9618419	9619469
Cetn1	western clawed frog symbol	MGI:1347085	X	-	72913532	72918411
Rnf7	current symbol	MGI:1337096	9	-	96470937	96478675
Fto	current symbol	MGI:1347093	8	+	91313532	91668439
Wdr1	current symbol	MGI:1337100	5	-	38526813	38563221
Adgre5	current symbol	MGI:1347095	8	-	83723251	83741326
Eya4	current symbol	MGI:1337104	10	-	23104168	23349895
P2rx6	current symbol	MGI:1337113	16	+	17561885	17577800
Slc27a1	current symbol	MGI:1347098	8	+	71568927	71586708
Slc7a7	current symbol	MGI:1337120	14	-	54369442	54417780
Slc27a2	current symbol	MGI:1347099	2	+	126552407	126588243
Slc27a5	current symbol	MGI:1347100	7	-	12988346	12998192
Ap4b1	current symbol	MGI:1337130	3	+	103809520	103822025
Rev3l	current symbol	MGI:1337131	10	+	39732118	39875211
Axl	current symbol	MGI:1347244	7	-	25757273	25788705
Cacna1b	current symbol	MGI:88296	2	-	24603887	24763152
Meis2	current symbol	MGI:108564	2	-	115863064	116065839
Ceacam1	human symbol	MGI:1347246	7	-	25516042	25539857
Ceacam1	current symbol	MGI:1347245	7	-	25461702	25477625
Vars	current symbol	MGI:90675	17	+	35000987	35016322
Ceacam2	current symbol	MGI:1347246	7	-	25516042	25539857
Ceacam9	current symbol	MGI:1347247	7	+	16721929	16726110
Ceacam10	current symbol	MGI:1347248	7	+	24777204	24784649
Psg16	current symbol	MGI:1347249	7	+	17074040	17133450
Psg17	current symbol	MGI:1347250	7	-	18813937	18821607
Psg18	current symbol	MGI:1347251	7	-	18345422	18355009
Psg19	current symbol	MGI:1347252	7	-	18789567	18798520
Usp5	current symbol	MGI:1347343	6	-	124815019	124829484
Cited1	current symbol	MGI:108023	X	-	102247381	102252181
Homer1	current symbol	MGI:1347345	13	+	93303757	93404129
Cacna1c	current symbol	MGI:103013	6	-	118587240	119196418
Adamts6	current symbol	MGI:1347348	13	+	104287873	104494763
Krtap15	current symbol	MGI:1347350	16	+	88828994	88829844
Ncdn	current symbol	MGI:1347351	4	-	126743750	126753438
Hunk	current symbol	MGI:1347352	16	+	90386397	90499553
Atp2b3	current symbol	MGI:1347353	X	+	73503086	73571005
Bcl10	current symbol	MGI:1337994	3	+	145922804	145934356
Homer2	current symbol	MGI:1347354	7	-	81600481	81706925
Klhl22	current symbol	MGI:1337995	16	+	17759618	17793382
Slc7a11	current symbol	MGI:1347355	3	-	49892526	50443614
Gdap2	current symbol	MGI:1338001	3	+	100162381	100206981
Gdap1	current symbol	MGI:1338002	1	+	17145362	17164271
Adamts2	current symbol	MGI:1347356	11	+	50602084	50807573
Irs4	current symbol	MGI:1338009	X	-	141710998	141725263
Pnck	current symbol	MGI:1347357	X	-	73655994	73660117
Hic1	current symbol	MGI:1338010	11	-	75164565	75169519
Slc27a3	current symbol	MGI:1347358	3	-	90385239	90389938
Slc27a3	western clawed frog symbol	MGI:1347099	2	+	126552407	126588243
Auh	current symbol	MGI:1338011	13	-	52835119	52929681
Zdhhc8	current symbol	MGI:1338012	16	-	18220754	18235136
Cul3	current symbol	MGI:1347360	1	-	80264923	80340480
Cbfa2t3	current symbol	MGI:1338013	8	-	122628739	122699109
Mmp23	current symbol	MGI:1347361	4	-	155650655	155653384
Sort1	current symbol	MGI:1338015	3	+	108284082	108361511
Ngfrap1	current symbol	MGI:1338016	X	+	136270261	136271978
Foxd1	current symbol	MGI:1347463	13	+	98354242	98356703
Bex2	current symbol	MGI:1338017	X	-	136066564	136068236
Opn3	current symbol	MGI:1338022	1	-	175662421	175692776
Foxg1	current symbol	MGI:1347464	12	+	49382660	49386861
Mapk11	current symbol	MGI:1338024	15	-	89142486	89149606
Foxh1	current symbol	MGI:1347465	15	-	76668284	76669948
Tom1	current symbol	MGI:1338026	8	+	75033686	75070121
Gdf11	current symbol	MGI:1338027	10	-	128882295	128891718
Foxc1	current symbol	MGI:1347466	13	+	31806691	31810643
Capn7	current symbol	MGI:1338030	14	+	31336638	31371986
Foxd4	current symbol	MGI:1347467	19	-	24898965	24901309
Foxb2	current symbol	MGI:1347468	19	-	16872316	16873830
Spint2	current symbol	MGI:1338031	7	-	29256331	29281977
Foxl1	current symbol	MGI:1347469	8	+	121127940	121130644
Spint1	current symbol	MGI:1338033	2	+	119237362	119249527
Phf2	current symbol	MGI:1338034	13	-	48801750	48870885
Phf2	synonym	MGI:98647	17	+	26933127	26937890
Foxf1	rat synonym	MGI:3028075	7	+	135410367	135413615
Foxf1	current symbol	MGI:1347470	8	+	121084386	121088144
Bpifa1	current symbol	MGI:1338036	2	+	154142880	154149219
Rbm6	current symbol	MGI:1338037	9	-	107773559	107873237
Rbm6	western clawed frog symbol	MGI:1914677	4	-	3831334	3835665
Foxd2	current symbol	MGI:1347471	4	-	114906282	114908873
Foxa1	current symbol	MGI:1347472	12	-	57540631	57546121
Ovol2	current symbol	MGI:1338039	2	-	144305175	144332146
Foxd3	current symbol	MGI:1347473	4	+	99656299	99658622
Tfg	current symbol	MGI:1338041	16	-	56690332	56717450
Pcdh10	current symbol	MGI:1338042	3	+	45378398	45435623
Cyp8b1	current symbol	MGI:1338044	9	-	121914356	121916305
Ctsw	current symbol	MGI:1338045	19	-	5465240	5468498
Mrps33	current symbol	MGI:1338046	6	-	39801804	39810988
Itsn2	current symbol	MGI:1338049	12	+	4593008	4713950
Foxj1	current symbol	MGI:1347474	11	-	116330704	116335399
Pdpk1	current symbol	MGI:1338068	17	-	24073680	24150924
Foxa2	current symbol	MGI:1347476	2	-	148042877	148046969
Itsn1	current symbol	MGI:1338069	16	+	91729281	91920597
Foxa3	current symbol	MGI:1347477	7	-	19013282	19023538
Ikbkb	current symbol	MGI:1338071	8	-	22659212	22706589
Foxf2	current symbol	MGI:1347479	13	+	31625816	31631403
Cdc45	current symbol	MGI:1338073	16	-	18780447	18811987
Ikbkg	current symbol	MGI:1338074	X	+	74393290	74453854
Foxc2	current symbol	MGI:1347481	8	+	121116171	121118895
Hivep2	current symbol	MGI:1338076	10	+	13966075	14151374
Foxm1	current symbol	MGI:1347487	6	+	128362967	128375893
Bmpr1b	current symbol	MGI:107191	3	-	141837136	142169425
Foxk1	current symbol	MGI:1347488	5	+	142401497	142462011
Adam12	current symbol	MGI:105378	7	-	133883199	134232146
H2-DMa	current symbol	MGI:95921	17	+	34135182	34139101
Ablim1	current symbol	MGI:1194500	19	-	57032733	57314919
H2-DMb1	current symbol	MGI:95922	17	+	34153072	34160230
H2-DMb2	current symbol	MGI:95923	17	+	34143307	34151553
Ror1	current symbol	MGI:1347520	4	+	100095791	100444765
Ror1	human synonym	MGI:104661	9	+	68653786	69388246
Acvr1	current symbol	MGI:87911	2	-	58388644	58567157
Ror2	current symbol	MGI:1347521	13	-	53109312	53286124
Ror2	human synonym	MGI:104661	9	+	68653786	69388246
Adam17	current symbol	MGI:1096335	12	-	21323509	21373632
Pla2g10	current symbol	MGI:1347522	16	-	13715057	13730983
Rhoc	current symbol	MGI:106028	3	+	104788375	104794459
Adam3	current symbol	MGI:102518	8	-	24677225	24725852
Tssk1	current symbol	MGI:1347557	16	+	17894223	17897922
Tssk2	current symbol	MGI:1347559	16	+	17898637	17900023
Tsks	current symbol	MGI:1347560	7	+	44943222	44958035
Adam9	current symbol	MGI:105376	8	-	24949611	25016922
Sdc1	current symbol	MGI:1349162	12	+	8771323	8793715
S100a8	current symbol	MGI:88244	3	+	90668978	90670035
Sdc4	current symbol	MGI:1349164	2	-	164424247	164443887
Defb2	current symbol	MGI:1338754	8	+	21839926	21843482
Rnd2	current symbol	MGI:1338755	11	+	101464999	101471853
Sdc2	current symbol	MGI:1349165	15	+	32920723	33034730
Ccl21b	rat synonym	MGI:3710514	4	+	42114817	42115917
Ccl21b	current symbol	MGI:1349182	4	+	42255767	42256432
Ccl21b	rat synonym	MGI:3711256	4	+	42612195	42612860
Ccl21b	rat synonym	MGI:1349183	4	-	42772860	42773993
Ccl21b	rat synonym	MGI:5434896	4	+	41903610	41904743
Ccl21b	rat synonym	MGI:1891386	UN		
Ccl21b	rat synonym	MGI:3780156	UN		
Adnp	current symbol	MGI:1338758	2	-	168180986	168207112
Abcd1	current symbol	MGI:1349215	X	+	73716597	73738534
Colq	current symbol	MGI:1338761	14	-	31523082	31591343
Colq	rat synonym	MGI:88421	17	-	28558210	28560766
Abcd4	current symbol	MGI:1349217	12	-	84602531	84617466
Fhl2	current symbol	MGI:1338762	1	-	43123074	43196984
Dysf	current symbol	MGI:1349385	6	+	84008590	84211060
Spag1	current symbol	MGI:1349387	15	+	36179368	36235610
Cops7b	current symbol	MGI:1349388	1	+	86582904	86609375
Gcat	current symbol	MGI:1349389	15	+	79030874	79042531
Pts	current symbol	MGI:1338783	9	-	50521618	50528641
Pclo	current symbol	MGI:1349390	5	+	14514918	14863459
Pkdrej	current symbol	MGI:1338786	15	-	85814676	85821733
Pex11a	current symbol	MGI:1338788	7	-	79735957	79743131
S100a11	human symbol	MGI:3645720	12	+	73961142	73961447
S100a11	current symbol	MGI:1338798	3	+	93520488	93526287
Gtf2h4	current symbol	MGI:1338799	17	-	35667730	35673739
Bpnt1	current symbol	MGI:1338800	1	+	185332149	185357777
H2afy	current symbol	MGI:1349392	13	-	56073619	56136361
Cyfip1	current symbol	MGI:1338801	7	+	55841745	55930700
Polr2f	current symbol	MGI:1349393	15	+	79141367	79151767
Aire	current symbol	MGI:1338803	10	-	78030022	78043610
Map4k4	current symbol	MGI:1349394	1	+	39900913	40026310
Acot1	human symbol	MGI:2159619	12	+	84052144	84059565
Acot1	current symbol	MGI:1349396	12	+	84009502	84017670
Bmp10	current symbol	MGI:1338820	6	+	87429002	87434512
Cops7a	current symbol	MGI:1349400	6	-	124958413	124965538
B3galt1	current symbol	MGI:1349403	2	+	67565871	68120514
Celf2	current symbol	MGI:1338822	2	-	6539694	7509563
Maz	current symbol	MGI:1338823	7	-	127022143	127026479
B3galnt1	current symbol	MGI:1349405	3	-	69574158	69598960
Ddx3y	rat symbol	MGI:91842	1	+	186967416	186970627
Ddx3y	current symbol	MGI:1349406	Y	-	1260771	1286629
Rgs9	human synonym	MGI:2384418	7	-	35578993	35585582
Rgs9	current symbol	MGI:1338824	11	-	109225355	109298129
Rgs9	western clawed frog symbol	MGI:1354739	17	+	26202951	26211319
Triobp	current symbol	MGI:1349410	15	+	78947724	79005867
Pex16	current symbol	MGI:1338829	2	+	92374676	92381217
Clec4a2	current symbol	MGI:1349412	6	+	123106428	123143999
Clec4a2	rat symbol	MGI:3624119	6	+	122990367	123024105
Dio2	current symbol	MGI:1338833	12	-	90724554	90738438
Cops4	current symbol	MGI:1349414	5	+	100518309	100547803
Cops5	current symbol	MGI:1349415	1	-	10024601	10038168
P2rx4	current symbol	MGI:1338859	5	+	122707544	122729738
Zfp346	current symbol	MGI:1349417	13	+	55105311	55134825
Stau1	current symbol	MGI:1338864	2	-	166947549	166996299
Aifm1	current symbol	MGI:1349419	X	-	48474944	48513563
Btrc	current symbol	MGI:1338871	19	+	45363734	45533341
Sh2d1b1	current symbol	MGI:1349420	1	+	170277320	170286769
St14	current symbol	MGI:1338881	9	-	31089402	31131853
Figla	current symbol	MGI:1349421	6	+	86016171	86020996
Pex11b	current symbol	MGI:1338882	3	+	96635376	96645366
Gfpt2	current symbol	MGI:1338883	11	+	49794178	49838613
Racgap1	current symbol	MGI:1349423	15	-	99620496	99651656
Ctsj	current symbol	MGI:1349426	13	-	61000278	61005916
Exo1	current symbol	MGI:1349427	1	+	175880581	175913489
Uhrf1	current symbol	MGI:1338889	17	+	56303321	56323486
Foxl2	current symbol	MGI:1349428	9	+	98955607	98956847
Padi3	current symbol	MGI:1338891	4	-	140785365	140810648
Padi2	current symbol	MGI:1338892	4	+	140906344	140952586
Arl2bp	current symbol	MGI:1349429	8	+	94666755	94674417
Padi1	current symbol	MGI:1338893	4	-	140812983	140845778
Padi4	current symbol	MGI:1338898	4	-	140745865	140774236
Eif2s3x	current symbol	MGI:1349431	X	-	94188707	94212862
Ern2	western clawed frog symbol	MGI:1930134	11	-	106394650	106487852
Ern2	current symbol	MGI:1349436	7	-	122169893	122186216
Bmpr1a	current symbol	MGI:1338938	14	-	34410734	34503341
Mprip	current symbol	MGI:1349438	11	+	59661305	59780854
Cops6	current symbol	MGI:1349439	5	+	138161071	138164646
Mecr	current symbol	MGI:1349441	4	+	131843470	131867786
Med14	current symbol	MGI:1349442	X	-	12675369	12762073
Acvr1b	current symbol	MGI:1338944	15	+	101174067	101213679
Haao	current symbol	MGI:1349444	17	-	83831356	83846790
Cln8	current symbol	MGI:1349447	8	+	14881335	14901720
Cenph	current symbol	MGI:1349448	13	-	100759674	100775899
Galnt7	current symbol	MGI:1349449	8	-	57523828	57653032
Galnt7	human synonym	MGI:1926004	14	+	32028989	32062197
Acvrl1	current symbol	MGI:1338946	15	+	101128522	101145336
Vat1	current symbol	MGI:1349450	11	-	101458745	101466230
Vat1	human synonym	MGI:106684	8	-	69037711	69089235
Corin	current symbol	MGI:1349451	5	-	72300025	72504473
S100a9	current symbol	MGI:1338947	3	-	90692632	90695721
Polr3e	current symbol	MGI:1349452	7	+	120917744	120947432
Vsnl1	current symbol	MGI:1349453	12	-	11325247	11436649
Gprin1	current symbol	MGI:1349455	13	-	54736671	54749874
Acvr2a	current symbol	MGI:102806	2	+	48814109	48903269
B3galt2	current symbol	MGI:1349461	1	+	143640664	143654614
Muc2	current symbol	MGI:1339364	7	+	141690340	141754693
Abcd2	current symbol	MGI:1349467	15	-	91145884	91191807
S100a6	current symbol	MGI:1339467	3	+	90612882	90624181
Trpc7	synonym	MGI:1351901	10	-	77907722	77970563
Trpc7	current symbol	MGI:1349470	13	-	56773113	56895789
S100a10	current symbol	MGI:1339468	3	+	93555080	93564643
Adh4	synonym	MGI:87926	3	+	138217760	138233382
Adh4	current symbol	MGI:1349472	3	+	138415466	138430892
Ppp2r5e	current symbol	MGI:1349473	12	-	75450883	75596200
Deb1	current symbol	MGI:1349474	9	+	121710389	121712921
Ppp2r5c	current symbol	MGI:1349475	12	+	110485739	110583061
Tinag	current symbol	MGI:1349477	9	-	76951693	77045794
Zw10	current symbol	MGI:1349478	9	+	49055581	49078772
Ogt	current symbol	MGI:1339639	X	+	101640060	101684351
Chst4	current symbol	MGI:1349479	8	-	110029075	110039334
Scamp1	current symbol	MGI:1349480	13	-	94201310	94285857
Pak3	human synonym	MGI:1860493	8	+	11728105	11835219
Pak3	current symbol	MGI:1339656	X	+	143518591	143797792
Ing1	current symbol	MGI:1349481	8	+	11556066	11563250
Neurod1	current symbol	MGI:1339708	2	-	79452521	79456751
Slc9a3r1	current symbol	MGI:1349482	11	+	115163341	115181181
Myh3	current symbol	MGI:1339709	11	+	67078300	67102286
Myh3	western clawed frog symbol	MGI:1339713	11	+	67238029	67260446
Myh2	western clawed frog symbol	MGI:1339711	11	+	67200052	67224575
Myh2	current symbol	MGI:1339710	11	+	67171066	67197514
Sec23a	current symbol	MGI:1349635	12	-	58958383	59012017
Islr	current symbol	MGI:1349645	9	-	58156265	58159221
Gimap4	current symbol	MGI:1349656	6	+	48684549	48692060
Gimap7	current symbol	MGI:1349657	6	+	48718621	48724636
Myh8	western clawed frog symbol	MGI:1339711	11	+	67200052	67224575
Myh8	current symbol	MGI:1339712	11	+	67277124	67308634
Myh4	western clawed frog symbol	MGI:1339711	11	+	67200052	67224575
Myh4	current symbol	MGI:1339713	11	+	67238029	67260446
Pla2g2e	current symbol	MGI:1349660	4	+	138877942	138882817
Pla2g2f	current symbol	MGI:1349661	4	-	138750533	138757626
Csf3	current symbol	MGI:1339751	11	+	98701263	98703629
Csf2	current symbol	MGI:1339752	11	-	54247271	54249667
Csf1	current symbol	MGI:1339753	3	-	107741048	107760469
Ncor1	current symbol	MGI:1349717	11	-	62316426	62458541
Csf2ra	current symbol	MGI:1339754	19	-	61224402	61228418
Csf3r	current symbol	MGI:1339755	4	+	126024550	126044440
Tob1	current symbol	MGI:1349721	11	+	94211454	94215495
Csf1r	current symbol	MGI:1339758	18	+	61105572	61131134
Pabpc1	current symbol	MGI:1349722	15	-	36595661	36608973
Csf2rb	current symbol	MGI:1339759	15	+	78325990	78351000
Csf2rb	human symbol	MGI:1339760	15	-	78282517	78305603
Csf2rb2	current symbol	MGI:1339760	15	-	78282517	78305603
Pabpc2	human synonym	MGI:1349722	15	-	36595661	36608973
Pabpc2	current symbol	MGI:1349723	18	+	39773497	39776082
Dpysl3	current symbol	MGI:1349762	18	-	43320979	43438286
Smc3	current symbol	MGI:1339795	19	+	53600398	53645833
Dpysl2	current symbol	MGI:1349763	14	-	66802864	66868688
Dpysl4	current symbol	MGI:1349764	7	+	139086001	139102704
Rcn2	current symbol	MGI:1349765	9	+	56041845	56061882
Rcn2	human synonym	MGI:1858219	17	+	43801851	44039516
Sema6a	current symbol	MGI:1203727	18	-	47235598	47368870
Brd7	current symbol	MGI:1349766	8	-	88331039	88362194
Sema3f	current symbol	MGI:1096347	9	-	107681500	107710475
Ermap	current symbol	MGI:1349816	4	-	119175457	119190011
Ndufb11	current symbol	MGI:1349919	X	-	20615326	20617619
Ofd1	current symbol	MGI:1350328	X	-	166390033	166440704
Sgsh	current symbol	MGI:1350341	11	-	119343425	119355536
Tspan32	current symbol	MGI:1350360	7	+	143005046	143019644
Sema4d	current symbol	MGI:109244	13	-	51701246	51793747
Sema4c	current symbol	MGI:109252	1	-	36548639	36558349
Rps3	current symbol	MGI:1350917	7	-	99477896	99483738
Sema6b	current symbol	MGI:1202889	17	-	56123085	56140343
Omd	current symbol	MGI:1350918	13	+	49582766	49592609
Fkbp9	current symbol	MGI:1350921	6	+	56832059	56879358
Sema7a	current symbol	MGI:1306826	9	+	57940135	57962865
Cadps	current symbol	MGI:1350922	14	-	12372563	12823079
Sema4b	current symbol	MGI:107559	7	+	80186841	80226394
Irf5	current symbol	MGI:1350924	6	+	29526625	29541871
Sec23b	current symbol	MGI:1350925	2	+	144556229	144590749
Sema4a	current symbol	MGI:107560	3	-	88435959	88459101
Etv3	current symbol	MGI:1350926	3	+	87525407	87540156
Rpl8	current symbol	MGI:1350927	15	+	76904071	76906318
Sema3b	current symbol	MGI:107561	9	-	107597674	107609229
Asns	current symbol	MGI:1350929	6	-	7675169	7693254
Srp9	current symbol	MGI:1350930	1	+	182124737	182132407
Tcirg1	current symbol	MGI:1350931	19	-	3896050	3907133
Ncoa4	current symbol	MGI:1350932	14	+	32159865	32179855
Sema5a	current symbol	MGI:107556	15	+	32244813	32696341
Bcap31	current symbol	MGI:1350933	X	-	73686178	73716175
Suv39h1	current symbol	MGI:1099440	X	-	8061171	8074760
Tlx2	current symbol	MGI:1350935	6	-	83068324	83070225
Xlr4b	current symbol	MGI:1350975	X	+	73214333	73222453
Xlr5c	current symbol	MGI:1350981	X	-	73282896	73292976
Zfp275	current symbol	MGI:1350985	X	+	73342621	73359080
Sema3a	current symbol	MGI:107558	5	+	13125414	13602565
Tlx3	current symbol	MGI:1351209	11	-	33200752	33203589
Pnp	human symbol	MGI:3712328	14	+	50955992	50964749
Pnp	current symbol	MGI:97365	14	+	50944302	50953412
Pnp	human synonym	MGI:97753	11	-	102099930	102101319
Slamf1	current symbol	MGI:1351314	1	+	171767127	171801184
Icam5	current symbol	MGI:109430	9	+	21032038	21039036
Sema3c	current symbol	MGI:107557	5	+	17574281	17730268
Tceb3	current symbol	MGI:1351315	4	-	136003368	136021763
Tceb3	zebrafish symbol	MGI:1914738	15	-	102706779	102722178
Rpa2	current symbol	MGI:1339939	4	+	132768332	132778752
Rpa2	synonym	MGI:108014	2	+	129100995	129126594
Olfr154	current symbol	MGI:1351316	2	-	85663476	85664432
Podxl	current symbol	MGI:1351317	6	-	31519488	31563981
Cxcl15	current symbol	MGI:1339941	5	+	90794534	90803067
Tbpl1	current symbol	MGI:1339946	10	-	22703879	22731938
Trp53bp1	current symbol	MGI:1351320	2	-	121193281	121271407
Adamts4	current symbol	MGI:1339949	1	+	171250421	171260637
Cse1l	current symbol	MGI:1339951	2	+	166906040	166946389
Mixl1	current symbol	MGI:1351322	1	-	180693043	180697034
Nrk	current symbol	MGI:1351326	X	+	138914431	139010532
Pla2g7	current symbol	MGI:1351327	17	+	43568098	43612201
Dbf4	current symbol	MGI:1351328	5	-	8396973	8422716
Rps11	current symbol	MGI:1351329	7	-	45122388	45124389
Cartpt	current symbol	MGI:1351330	13	-	99898484	99900683
P2rx7	current symbol	MGI:1339957	5	+	122643911	122691432
Azi2	human synonym	MGI:2442093	4	-	128930233	128962442
Azi2	current symbol	MGI:1351332	9	+	118040499	118069794
Nfe2l3	current symbol	MGI:1339958	6	+	51432670	51458768
Thoc5	current symbol	MGI:1351333	11	+	4895320	4928867
Ftcd	current symbol	MGI:1339962	10	+	76575648	76590338
St3gal5	current symbol	MGI:1339963	6	+	72097592	72154571
Syn3	current symbol	MGI:1351334	10	-	86055125	86498896
Atp1a4	current symbol	MGI:1351335	1	-	172223513	172258414
Myh13	western clawed frog symbol	MGI:1339713	11	+	67238029	67260446
Myh13	current symbol	MGI:1339967	11	+	67321658	67371586
Ddx24	current symbol	MGI:1351337	12	-	103407976	103425867
Cth	current symbol	MGI:1339968	3	-	157894248	157925077
Cth	human synonym	MGI:1928009	9	+	37539255	37544205
Grm1	current symbol	MGI:1351338	10	-	10686059	11082356
Gja10	current symbol	MGI:1339969	4	-	32600644	32602760
Rtn3	current symbol	MGI:1339970	19	-	7425901	7483289
Grm2	current symbol	MGI:1351339	9	-	106643095	106656082
Grm3	current symbol	MGI:1351340	5	-	9485541	9725170
Ilf3	current symbol	MGI:1339973	9	+	21368019	21405361
Grm4	current symbol	MGI:1351341	17	-	27422387	27513341
Grm5	current symbol	MGI:1351342	7	+	87803815	88134907
Pak1	current symbol	MGI:1339975	7	+	97842935	97912381
Pak1	synonym	MGI:108022	8	-	83669762	83699179
Grm6	current symbol	MGI:1351343	11	+	50850685	50866208
Agtrap	current symbol	MGI:1339977	4	-	148077061	148088031
Grm7	current symbol	MGI:1351344	6	+	110645581	111567230
Pak2	current symbol	MGI:1339984	16	-	32016290	32079342
Pak2	human synonym	MGI:109211	3	-	142790902	142882004
Grm8	current symbol	MGI:1351345	6	-	27275119	28135178
Mettl1	current symbol	MGI:1339986	10	+	127041414	127046365
Vmn2r61	current symbol	MGI:1351347	7	+	42260053	42300755
Efemp1	current symbol	MGI:1339998	11	+	28853204	28926743
Casr	current symbol	MGI:1351351	16	-	36493696	36562141
Krt27	current symbol	MGI:1339999	11	-	99345565	99351104
Atic	current symbol	MGI:1351352	1	+	71557150	71579631
Aldh1l1	current symbol	MGI:1340024	6	+	90486427	90600203
Rpl13a	current symbol	MGI:1351455	7	-	45125558	45136231
Mmp13	current symbol	MGI:1340026	9	+	7272514	7283333
G3bp1	current symbol	MGI:1351465	11	+	55469685	55504838
Mtl5	current symbol	MGI:1340029	19	+	3388857	3407823
Plek2	current symbol	MGI:1351466	12	-	78888691	78906964
Clnk	current symbol	MGI:1351468	5	-	38706462	38876812
Crlf1	current symbol	MGI:1340030	8	+	70493158	70504081
Plekhb1	current symbol	MGI:1351469	7	-	100642892	100662414
Nfkbil1	current symbol	MGI:1340031	17	-	35220175	35235792
B9d1	current symbol	MGI:1351471	11	+	61505144	61512931
